,name,language,activity,developer_count,issue_comment,open_issue,open_pull,pull_review_comment,merge_pull,pull_commits,pull_additions,pull_deletions
1,rwynn/mongofluxd,Go,7.05,3,6,2,1,0,1,1,20,10
2,iamcristos/React-Insta-Clone,JavaScript,6.24,1,3,0,0,9,0,0,0,0
