,name,language,activity,developer_count,issue_comment,open_issue,open_pull,pull_review_comment,merge_pull,pull_commits,pull_additions,pull_deletions
1,dmlc/tvm,Python,15314.62,344,73651,2767,11048,49790,10057,40099,2455802,1514126
2,seata/seata,Java,6995.43,557,23978,3957,7231,17008,6354,288841,5795284,3620656
3,ant-design/ant-design,TypeScript,6443.71,2967,21506,2598,1865,2728,1493,7027,464046,283447
4,ElemeFE/element,Vue,4609.6,2530,10642,1526,757,291,420,989,72482,37111
5,iresty/apisix,Perl,4522.35,86,14046,3717,7768,9921,7310,19851,731875,188657
6,PaddlePaddle/Paddle,C++,4423.9,740,10245,1949,4557,8602,3304,15948,600105,266406
7,NervJS/taro,JavaScript,4207.79,1781,14722,2329,454,62,297,474,32665,20521
8,pingcap/tidb,Go,4010.71,498,26102,1275,3933,14868,3386,20915,622067,258389
9,apache/incubator-shardingsphere,Java,3633.68,541,15470,2455,4005,3260,3808,66476,1640884,776677
10,ant-design/ant-design-pro,TypeScript,3247.56,1443,8670,1602,353,863,232,954,26302,83685
