,actor_login,activity,participantrepocount,issue_comment,open_issue,open_pull,pull_review_comment,merge_pull,pull_commits,pull_additions,pull_deletions
1,dependabot[bot],29918501,1256176,3061027,0,7758413,0,716447,764248,62669522,56699658
2,dependabot-preview[bot],19684482,56761,2095741,30221,3476033,0,1420040,1490764,77745934,71825751
3,renovate[bot],4475788,10974,57073,1230,621025,0,510636,534098,55073494,46529192
4,github-learning-lab[bot],3820228,473533,1577950,686772,87605,53171,78647,252491,2339846,471678
5,github-actions[bot],892699,25459,631861,30195,25419,10079,16775,37515,3340086,2131198
6,codecov[bot],838378,23324,838378,0,0,0,0,0,0,0
7,pyup-bot,826294,2607,136636,268,185624,0,26450,43509,70439,68668
8,bot-monkey-1,791895,3,94071,80380,95284,6873,44744,44744,44744,0
9,sonarcloud[bot],755313,12390,755313,0,0,0,0,0,0,0
10,greenkeeper[bot],588112,10493,328615,10910,46154,0,19843,39830,1981256,1573729
11,openshift-ci-robot,581716,540,581192,0,0,131,0,0,0,0
12,codeclimate[bot],449086,2271,276446,0,0,43160,0,0,0,0
13,vercel[bot],433635,47082,433635,0,0,0,0,0,0,0
14,stale[bot],342650,4832,342650,0,0,0,0,0,0,0
15,depfu[bot],308425,2103,39652,117,57803,0,19026,20872,1632368,1525224
16,k8s-ci-robot,307991,254,305945,0,216,82,214,214,167391,167352
17,liferay-continuous-integration,302729,227,273039,0,9895,0,1,1,20,19
18,cjxd-bot-test,231026,12780,34760,190,28167,0,22277,24367,439647,50542
19,coveralls,219530,11875,219530,0,0,0,0,0,0,0
20,openshift-bot,215347,344,194481,0,2692,0,2558,3898,462516,228868
