,actor_id,time_zone
422,16509,-8
423,16559,-8
424,16577,-8
425,16649,-4
426,16672,-8
427,16700,-8
428,16758,5
429,16816,-8
430,16833,-8
431,16923,-8
432,16928,-8
433,16950,-8
434,17011,-8
435,17034,5
436,17118,-4
437,17137,2
438,17184,5
439,17229,-2
440,17243,-8
441,17307,-8
442,17328,-5
443,17361,-8
444,17382,-4
445,17390,3
446,17444,-8
447,17530,-8
448,17534,4
449,17535,6
450,17538,4
451,17565,-8
452,17584,3
453,17607,5
454,17612,2
455,17616,-5
456,17684,-8
457,17735,3
458,17738,3
459,17814,-8
460,17882,-8
461,17892,-8
462,17906,-7
463,17945,-8
464,18020,-8
465,18057,4
466,18299,-8
467,18375,0
468,18515,-4
469,18516,-8
470,18562,3
471,18619,-8
472,18631,-8
473,18676,-8
474,18677,-8
475,18808,-3
476,18831,1
477,18920,4
478,19007,-3
479,19036,4
480,19060,5
481,19072,-8
482,19111,4
483,19174,3
484,19188,3
485,19195,-8
486,19217,-3
487,19258,-8
488,19260,-2
489,19276,-8
490,19299,-8
491,19339,3
492,19343,-8
493,19349,7
494,19378,-1
495,19409,5
496,19630,-3
497,19658,-8
498,19670,-7
499,19714,-8
500,19728,-8
501,19775,1
502,19779,-2
503,19859,-8
504,19890,2
505,20041,2
506,20047,2
507,20142,-8
508,20165,-1
509,20180,6
510,20201,-8
511,20208,-8
512,20234,-8
513,20318,-2
514,20321,-2
515,20322,-3
516,20340,-2
517,20387,-3
518,20474,-8
519,20483,3
520,20511,-2
521,20568,-8
522,20569,2
523,20723,-8
524,20770,-2
525,20774,-5
526,20886,4
527,21006,0
528,21034,5
529,21084,-8
530,21212,-8
531,21236,-8
532,21240,7
533,21290,-2
534,21325,-2
535,21557,-8
536,21592,-8
537,21600,5
538,21603,-8
539,21650,-8
540,21655,-1
541,21687,-8
542,21758,0
543,21772,1
544,21787,-8
545,21790,-8
546,21805,4
547,21815,-7
548,21904,3
549,21913,-7
550,21967,2
551,21979,-8
552,22009,-8
553,22076,-8
554,22080,4
555,22091,-8
556,22116,5
557,22333,-3
558,22350,-8
559,22394,2
560,22395,1
561,22407,-8
562,22410,3
563,22494,-8
564,22498,-2
565,22534,5
566,22600,4
567,22641,-6
568,22691,5
569,22708,6
570,22795,-8
571,22853,-7
572,22962,8
573,23052,-8
574,23066,4
575,23074,0
576,23088,-8
577,23151,-8
578,23176,-8
579,23248,-8
580,23264,-8
581,23304,0
582,23338,-8
583,23417,0
584,23469,-2
585,23493,-8
586,23610,6
587,23697,7
588,23763,-8
589,23779,-4
590,23789,1
591,23801,-3
592,23809,-4
593,23920,4
594,24027,-8
595,24063,2
596,24086,3
597,24195,5
598,24282,-8
599,24296,-8
600,24359,3
601,24378,-4
602,24532,-2
603,24643,-2
604,24696,0
605,24700,-1
