,name,language,activity,developer_count,issue_comment,open_issue,open_pull,pull_review_comment,merge_pull,pull_commits,pull_additions,pull_deletions
1,flutter/flutter,Dart,27286.63,12896,85746,12264,6948,17459,4119,18082,558570,266496
2,microsoft/vscode,TypeScript,26146.75,14105,83554,13682,1770,1683,1348,5254,155028,127829
3,MicrosoftDocs/azure-docs,PowerShell,24640.1,9548,96359,12188,4721,749,3319,4351,24863,22116
4,kubernetes/kubernetes,Go,21472.82,6428,238729,4245,9158,39665,6420,13780,2093581,1363470
5,tensorflow/tensorflow,C++,19610.84,8807,53265,5557,3453,7440,2276,19379,331202,198890
6,996icu/996.ICU,Rust,18781.29,10359,26377,9677,1029,75,548,1072,15989,2056
7,home-assistant/home-assistant,Python,16388.73,5813,46839,3682,5892,19935,4958,23868,817012,383799
8,ansible/ansible,Python,15425.41,5043,77270,3589,9718,17635,7646,21250,1155449,304557
9,NixOS/nixpkgs,Nix,13978.03,2200,62121,3334,14900,22361,12280,33857,956806,764620
10,helm/charts,Smarty,13883.63,4171,59837,1778,6233,5421,4830,10523,204175,72191
