,repo_id,repo_name,resolve_issue_period_avg,respond_issue_period_avg,resolve_issue_period_median,respond_issue_period_median,resolve_pr_period_avg,respond_pr_period_avg,resolve_pr_period_median,respond_pr_period_median,count
1,20580498,kubernetes/kubernetes,4527682.0,241380.0,898997.0,6.0,1824659.0,1237.0,343811.0,8.0,25504008
2,45717250,tensorflow/tensorflow,2105283.0,619280.0,730045.0,103302.5,1634131.0,488014.0,343399.0,73140.0,13718384
